
2024/09/13 (13:13:30) | ===> btop++ v.1.3.2
2024/09/13 (13:13:30) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/13 (14:20:13) | ===> btop++ v.1.3.2
2024/09/13 (14:20:13) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/13 (15:00:00) | ===> btop++ v.1.3.2
2024/09/13 (15:00:00) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/17 (14:56:08) | ===> btop++ v.1.3.2
2024/09/17 (14:56:08) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/17 (15:04:05) | ===> btop++ v.1.3.2
2024/09/17 (15:04:05) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/17 (15:04:52) | ===> btop++ v.1.3.2
2024/09/17 (15:04:52) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
